number,country,n,i,o,rgdpw60,rgdpw85,gdpgrowth,popgrowth,i_y,school,rgdpw23,gdpgrowth_23,popgrowth_23,i_y_23,school_23,ln_pl_i_23,alpha_23,g_meas_23,delta_23,lngd_meas_23
1,Algeria,1,1,0,2485,4371,4.8,2.6,24.1,4.5,3975.8060368927963,3.341534912105515,2.573516442116386,34.00807834696025,13.504585713580145,-1.5572865383707757,NaN,NA,0.04163513233652339,NA
2,Angola,1,0,0,1588,1171,0.8,2.1,5.8,1.8,11601.222524926518,2.7144748010834663,3.053154692648863,33.30106468940223,4.768253660006554,-1.3770837060874097,0.7150747207579788,-0.011599268956760111,0.04035666391805366,-2.8253324678079723
3,Benin,1,0,0,1116,1071,2.2,2.4,10.8,1.8,3783.8254255485276,4.791631696141474,2.7802495662486937,10.44737226329744,6.855874454564807,-1.0276015082609111,0.3725542087446563,0.008463772168497252,0.04494901339057833,-2.510651857136695
4,Botswana,1,1,0,959,3671,8.6,3.2,28.3,2.9,13186.82485165235,7.269338098945677,2.898016570669304,27.530819561798126,9.289146251489631,-1.1119269362687263,0.6807926986366506,-0.0010914009023077487,0.04120578843867406,-2.6722793755836247
5,Burkina Faso,1,0,0,529,857,2.9,0.9,12.7,0.4,1417.13583481693,4.069386338026626,2.454265537802147,12.637393805198366,4.26078221565459,-1.1514637598357342,0.5157301002182066,-4.208816221371592e-4,0.043737173080444336,-2.6903240393997607
6,Burundi,1,0,0,755,663,1.2,1.7,5.1,0.4,826.2579767412158,2.7324053790104053,2.5854413401734666,9.500624774955208,4.008992506927615,-1.2923121151379464,0.2992437292229043,-0.009247456308886792,0.034329229383729405,-2.9771816752764453
7,Cameroon,1,1,0,889,2190,5.7,2.1,12.8,3.4,1459.2183754580658,3.5224715706930088,2.71135650870451,15.511968708597127,8.578139722815335,-0.8177595723769298,0.40304845105856657,-0.0057540132696508595,0.04870749748079106,-2.658302648258673
8,Central Afr. Rep.,1,0,0,838,789,1.5,1.7,10.5,1.4,541.0433187072628,0.8709771535459154,1.5739381931290541,15.922944556223232,3.215301297794424,-1.162238529130023,0.795752555131912,-0.003263070027769377,0.04130008997162805,-2.922920534895259
9,Chad,1,0,0,908,462,-0.9,1.9,6.9,0.4,1572.623725771663,3.7560971261430653,2.855446565052211,11.458862622384913,4.276976896342726,-1.1179787505551728,0.5307838297449052,NA,0.04192713354132139,NA
10,"Congo,",1,0,0,1009,2624,6.2,2.4,28.8,3.8,1540.3754990669897,3.610211541094799,2.9167646233788203,22.76132667902857,14.529684218598835,-0.37737442636372914,NaN,NA,0.046244264405686415,NA
11,Egypt,1,0,0,907,2160,6,2.5,16.3,7,4415.343431060796,5.174847193864873,2.5655369385471527,7.175199339690151,13.747074669220472,-0.17806691915037304,0.6174436835572121,-0.0011642471111844577,0.06330271327169612,-2.4327639909883403
12,Ethiopia,1,1,0,533,608,2.8,2.3,5.4,1.1,1707.780736194744,4.8844241895602325,2.963651591970473,10.4686506849248,4.703488517614103,-0.8905758357587664,NaN,NA,0.03783595148706809,NA
13,Gabon,0,0,0,1307,5350,7,1.4,22.1,2.6,3157.626371734604,3.9422699663404392,2.497076977767909,16.206440038513392,8.75917034957797,-0.3123758368439758,0.6325705326162279,-0.008410057895243739,0.04624963679816574,-2.7676354311763594
14,"Gambia, The",0,0,0,799,NA,3.6,NA,18.1,1.5,862.6611024404651,3.2088546932447892,3.0833423265006044,10.929836996365342,4.66021585734863,-1.0097981413724437,NaN,NA,0.036600170424208045,NA
15,Ghana,1,0,0,1009,727,1,2.3,9.1,4.7,1715.2151880961096,3.657146093045527,2.7878232532817737,28.652098681777723,11.955222470746735,-1.5884820308515322,NaN,NA,0.05806625721743331,NA
16,Guinea,0,0,0,746,869,2.2,1.6,10.9,NA,1375.7778810622535,3.2232883417418368,2.2253230688067838,8.928107406245546,5.161866258965067,-1.0969526735647823,0.6949685507199979,NA,0.04706864908803255,NA
17,Ivory Coast,1,1,0,1386,1704,5.1,4.3,12.4,2.3,2933.337673263335,4.741907934615752,3.5028349163485073,10.443622809543747,7.832203419863563,-0.6791773251243268,0.4580904869362714,-0.006507271087409228,0.047233423916623,-2.580257404111835
18,Kenya,1,1,0,944,1329,4.8,3.4,17.4,2.4,1311.309816133354,4.0762061014794515,3.5346796919148105,11.76369951572269,12.124273694827544,-1.0582970017840945,0.47975588869303454,-3.458005848631096e-4,0.04529850569088013,-2.521991859478723
19,Lesotho,0,0,0,431,1483,6.8,1.9,12.6,2,1340.7199293973038,4.005246891508296,2.14851609920248,17.020637424138837,6.181978507632021,-1.1927517621536199,0.31823406175330826,0.002646164106195892,0.05398465599864722,-2.5495606195495983
20,Liberia,1,0,0,863,944,3.3,3,21.5,2.5,3167.3939633231694,2.069960030143081,2.5474770505561573,16.37860798587402,6.0007829899058684,-1.0397684921660337,NaN,NA,0.05420689259966215,NA
21,Madagascar,1,1,0,1194,975,1.4,2.2,7.1,2.6,621.7587673416334,2.0210382217075606,3.083195363738911,7.659459093702024,7.817559105329569,-0.7622034540046896,NaN,NA,0.03981683787424118,NA
22,Malawi,1,1,0,455,823,4.8,2.4,13.2,0.6,1725.2314078360798,5.099423283393012,2.89930951888433,15.846856136340651,6.835032795593986,-1.0702603662191004,NaN,NA,0.05565378797473386,NA
23,Mali,1,1,0,737,710,2.1,2.2,7.3,1,7242.550073988581,5.978285375919468,2.2031135698730386,10.759729516576048,4.44549101444657,-0.8387296235569904,NaN,NA,0.06460935197537765,NA
24,Mauritania,1,0,0,777,1038,3.3,2.2,25.6,1,1523.5403973307823,3.952378546447788,2.847239167387028,22.309688304085277,5.82199545180482,-1.4225071836889023,0.5291835367679598,-0.003440365513943666,0.03970400826074183,-2.7374372862886447
25,Mauritius,1,0,0,1973,2967,4.2,2.6,17.1,7.3,10201.114913292724,4.188323363629576,1.5063767913838788,14.104407007107516,14.081397476668325,-1.040713385271219,0.5131062744185331,0.0033749032002701185,0.045649355859495706,-2.7474977191855534
26,Morocco,1,1,0,1030,2348,5.8,2.5,8.3,3.6,4302.408464268017,4.612229241917021,2.265067038910451,19.910789356799803,9.09933518385235,-0.9989572753921702,0.4860127214342356,0.007465576435484733,0.04213175529730507,-2.6276506046640473
27,Mozambique,1,0,0,1420,1035,1.4,2.7,6.1,0.7,4582.045002742794,4.410335798563381,2.4867596772967238,20.535750826820735,3.084953995635204,-0.7837489614433935,0.5285155046731235,-4.0860788401198e-4,0.05025062576169148,-2.594146484943123
28,Niger,1,0,0,539,841,4.4,2.6,10.3,0.5,381.7147695332962,2.695977551447748,3.2599716631070974,16.33821020368487,2.4178044131536365,-1.3403232669274516,0.5199145893566312,-6.476017795450373e-4,0.03374451250419952,-2.7227076888164303
29,Nigeria,1,1,0,1055,1186,2.8,2.4,12,2.3,1600.7857190635339,3.286024580011304,2.6047022710838474,39.79756117332726,7.21681019153728,-0.5466746091601968,0.6789092230610548,-0.0070365729150129175,0.02946598210837692,-3.0266775392653997
30,Rwanda,1,0,0,460,696,4.5,2.8,7.9,0.4,1239.2403885160077,4.4187897984015345,2.789072080360522,7.621768908575175,7.265287781376255,-0.7893072515001432,0.24158738553523995,0.007316175244127754,0.054806524305604405,-2.407796504731332
31,Senegal,1,1,0,1392,1450,2.5,2.3,9.6,1.7,1512.2938708346924,2.992253496376307,2.856840662406057,11.212178977439182,6.825371232045596,-0.892043673373896,0.5100891278125348,-0.01150227723680064,0.040851613855920746,-2.848731495006642
32,Sierra Leone,1,0,0,511,805,3.4,1.6,10.9,1.7,4929.556725607909,3.395310960159059,2.1199955597519082,5.474678486112565,7.781694247580677,-0.34536893041663913,0.4564512128179723,-0.0033317889183728244,0.04837510752536002,-2.7144213407108704
33,Somalia,1,0,0,901,657,1.8,3.1,13.8,1.1,2758.728846306772,4.222181989678853,2.933005080007689,19.17464152254441,1.6596606769326956,-1.1009392275273064,NaN,NA,NaN,NA
34,S. Africa,1,1,0,4768,7064,3.9,2.3,21.6,3,6008.946338562619,2.8824416284447985,2.5053720558412484,18.578895065002143,13.543370361738514,-1.1825555005831865,0.4208348123356701,0.0018432807259749495,0.04482609580736607,-2.6349424480800567
35,Sudan,1,0,0,1254,1038,1.8,2.6,13.2,2,4619.358178567864,3.7078301938691993,3.0490929716640025,12.389627754412315,8.577562188115934,-1.323318153212445,0.27529071436987984,-2.654199074215713e-4,0.03735401191645198,-2.6944502748789168
36,Swaziland,0,0,0,817,NA,7.2,NA,17.7,3.7,14653.919002309915,4.604473309845969,2.3846373367419904,12.268600833636748,10.441243755696949,-0.8095177981951979,0.3729982281273061,0.010822409100243124,0.06329495128658083,-2.3231579325342513
37,Tanzania,1,1,0,383,710,5.3,2.9,18,0.5,1063.8003595102662,4.804749889340654,3.1190069620547156,20.242013165261596,2.6302567525355647,-1.1757157256477953,0.5214671348221598,-0.0018686005374013437,0.040937076380942024,-2.655573334549358
38,Togo,1,0,0,777,978,3.4,2.5,15.5,2.9,1566.414658500561,4.047091620793153,2.895608168027275,20.600630523404106,8.008363301933239,-1.3197489551392985,0.39815042032436887,2.3831080020775275e-4,0.04133738792734221,-2.6516918848108024
39,Tunisia,1,1,0,1623,3661,5.6,2.4,13.8,4.3,7618.730616098131,4.585766258248891,2.049959116951361,16.35740183992312,12.247307238386028,-1.0524957855686607,0.46434806520119276,0.007326655962837769,0.04454770794836805,-2.625908780765298
40,Uganda,1,0,0,601,667,3.5,3.1,4.1,1.1,1554.2212684222245,4.619511668812404,3.0535300822497113,15.653739252593372,2.3957105751647965,-1.050251124000984,NaN,NA,0.0566842535044998,NA
41,Zaire,1,0,0,594,412,0.9,2.4,6.5,3.6,248.80053646017603,1.6057662888127933,3.0189990550013146,17.210448416881263,7.001660122155537,-1.2858732916807794,NaN,NA,0.022732324519893155,NA
42,Zambia,1,1,0,1410,1217,2.1,2.7,31.7,2.4,1650.4270286689846,3.4448492217869386,3.1866512341675257,14.50809454254341,3.7369663403196336,-0.8159476225008677,0.5736937667243179,0.006628772007382766,0.03964765192358755,-2.5492156129861483
43,Zimbabwe,1,1,0,1187,2107,5.1,2.8,21.1,4.4,2068.5679868817083,3.426802101555304,2.518967225964097,10.934023606569102,8.964089569318475,1.0566702009162832,0.4109694240614774,0.00547478508395427,0.03904235316440463,-2.66345725425313
44,Afghanistan,0,0,0,1224,NA,1.6,NA,6.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Bahrain,0,0,0,NA,NA,NA,NA,30,12.1,73699.82981907469,3.955477012752495,4.217834078389693,35.26630393332905,11.492484523609235,-0.9843127622985417,0.6845007444973343,-0.023865277930098405,0.03300623650904055,-2.969688391649815
46,Bangladesh,1,1,0,846,1221,4,2.6,6.8,3.2,3081.460720470882,4.314641527682239,2.1961127399016123,14.337888735462911,10.489235508869768,-1.4669034257728462,NaN,NA,0.04223358188755811,NA
47,Burma,1,1,0,517,1031,4.5,1.7,11.4,3.5,12086.413053136866,5.400801802661781,1.7644113487359503,11.473102433486813,6.9775376512101035,-1.1415433384442115,NaN,NA,0.07153854939726093,NA
48,Hong Kong,1,1,0,3085,13372,8.9,3,19.9,7.2,29315.002175837973,5.408796146968697,1.708129342570519,23.104913788847632,8.36792476723913,-0.8731549345948613,0.5159413465298713,0.006843511900930244,0.027680760773364458,-2.96412574215715
49,India,1,1,0,978,1339,3.6,2.4,16.8,5.1,5973.382662823282,5.202827061837567,2.2240542589565315,20.318083022721112,13.460765037597556,-1.4331766946667985,0.35918819531798374,0.006318644517991245,0.04162886086851359,-2.656577239196835
50,Iran,0,0,0,3606,7400,6.3,3.4,18.4,6.5,3480.8011413217,2.7093547823388686,2.766980528503482,26.075367839075632,15.167723417361445,-0.9396525412637924,0.5950371441431341,-0.018045121792850338,0.044455738738179214,-2.9172830397637854
51,Iraq,0,0,0,4916,5626,3.8,3.2,16.2,7.4,22758.872576681333,3.7790234679641266,3.0700112415546155,18.054133232820917,11.383385584706229,-1.5013663805589816,0.8002330666338958,-0.009474519666387127,0.05398617312312126,-2.5874475991975423
52,Israel,1,1,0,4802,10450,5.9,2.8,28.5,9.5,21888.47011326195,4.976422706243677,2.4789656820075168,28.71123512741179,15.59619863128624,-0.7683705800453517,0.46808736398816086,0.0037792006347030505,0.037940800859360024,-2.7104081040597277
53,Japan,1,1,1,3493,13893,6.8,1.2,36,10.9,23758.662224024334,3.4144204651596066,0.31476453844221375,31.211409834213555,9.054390890924095,-0.5272388610540362,0.43476542457938183,0.006207145832267447,0.036759760259883485,-3.076626728535551
54,Jordan,1,1,0,2183,4312,5.4,2.7,17.6,10.8,1985.3799905624035,4.477363938574586,4.634844903824975,31.314262654632337,15.243914776396432,-1.2306553024466655,0.5187333505600691,-0.01259639803549184,0.03585746555472725,-2.664853988840976
55,"Korea, South",1,1,0,1285,4775,7.9,2.7,22.3,10.2,29922.64534444905,6.749903450726791,1.5471036297764806,32.54061162006111,9.656610354673004,-1.044060872484505,0.4996811570599675,0.013466353615033455,0.041970961581682786,-2.6463670597931723
56,Kuwait,0,0,0,77881,25635,2.4,6.8,9.5,9.6,68562.5387091843,1.4015448040956224,4.894614515816231,23.72387339947401,16.527684037193193,-1.2874760666902965,0.764359560277727,-0.04803252628612087,0.06052331171101994,-2.789744149348646
57,Malaysia,1,1,0,2154,5788,7.1,3.2,23.2,7.3,15286.62027139627,6.134269751572741,2.883719223360126,26.358377793803818,13.817212855586801,-1.4216249912647805,0.6755773834884169,-0.00479363763939733,0.04449933356954716,-2.680295625055348
58,Nepal,1,0,0,833,974,2.6,2,5.9,2.3,2902.610386863695,3.9923500805716383,1.9520438348485714,14.737466067890642,11.939370982092306,-1.4758267566204213,NaN,NA,0.03515759459696711,NA
59,Oman,0,0,0,NA,15584,NA,3.3,15.6,2.7,60366.54641513953,5.998009058303744,4.085566346289871,29.733444115629897,14.410164567303685,-0.9313208595012723,0.6730758009685411,NA,0.049455472302657594,NA
60,Pakistan,1,1,0,1077,2175,5.8,3,12.2,3,4999.660422145474,5.323648391756874,2.788129065759004,11.272350954823192,7.123817953892367,-1.420596735281341,NaN,NA,0.06973787402966992,NA
61,Philippines,1,1,0,1668,2430,4.5,3,14.9,10.6,4148.4911121484265,4.244807750841417,2.748046534069859,17.334596125874672,11.785546729580577,-1.3319924988093264,0.5635625310242176,-0.00428730241049502,0.04822455666726456,-2.6392092667925735
